ch_idx: 0
train_loss/datalen tensor(137.8353, device='cuda:0')
test accuracy: 0.26
test_loss: tensor(970.9224, device='cuda:0')
test_loss/datalen tensor(138.7032, device='cuda:0')
train accuracy: 0.24
train_loss: tensor(2097.4880, device='cuda:0')
train_loss/datalen tensor(139.8326, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(914.3477, device='cuda:0')
test_loss/datalen tensor(130.6211, device='cuda:0')
train accuracy: 0.26
train_loss: tensor(2108.4990, device='cuda:0')
train_loss/datalen tensor(140.5666, device='cuda:0')
test accuracy: 0.36
test_loss: tensor(959.0724, device='cuda:0')
test_loss/datalen tensor(137.0104, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(2031.6470, device='cuda:0')
train_loss/datalen tensor(135.4431, device='cuda:0')
test accuracy: 0.34
test_loss: tensor(916.4128, device='cuda:0')
test_loss/datalen tensor(130.9161, device='cuda:0')
-----------------------------------------------
ch_idx: 2
train accuracy: 0.21
train_loss: tensor(2038.2484, device='cuda:0')
train_loss/datalen tensor(135.8832, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(959.7531, device='cuda:0')
test_loss/datalen tensor(137.1076, device='cuda:0')
train accuracy: 0.23
train_loss: tensor(2108.0515, device='cuda:0')
train_loss/datalen tensor(140.5368, device='cuda:0')
test accuracy: 0.28
test_loss: tensor(957.4672, device='cuda:0')
test_loss/datalen tensor(136.7810, device='cuda:0')
train accuracy: 0.29
train_loss: tensor(2063.6064, device='cuda:0')
train_loss/datalen tensor(137.5738, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(925.0057, device='cuda:0')
test_loss/datalen tensor(132.1437, device='cuda:0')
train accuracy: 0.27
train_loss: tensor(2089.0806, device='cuda:0')
train_loss/datalen tensor(139.2720, device='cuda:0')
test accuracy: 0.27
test_loss: tensor(951.3054, device='cuda:0')
test_loss/datalen tensor(135.9008, device='cuda:0')
train accuracy: 0.24
train_loss: tensor(2072.0420, device='cuda:0')
train_loss/datalen tensor(138.1361, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(936.9623, device='cuda:0')
test_loss/datalen tensor(133.8518, device='cuda:0')
train accuracy: 0.24
train_loss: tensor(2104.3381, device='cuda:0')
train_loss/datalen tensor(140.2892, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(965.0733, device='cuda:0')
test_loss/datalen tensor(137.8676, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(2069.5938, device='cuda:0')
train_loss/datalen tensor(137.9729, device='cuda:0')
test accuracy: 0.24
test_loss: tensor(964.7244, device='cuda:0')
test_loss/datalen tensor(137.8178, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(2053.7068, device='cuda:0')
train_loss/datalen tensor(136.9138, device='cuda:0')
test accuracy: 0.28
test_loss: tensor(966.6207, device='cuda:0')
test_loss/datalen tensor(138.0887, device='cuda:0')
train accuracy: 0.27
train_loss: tensor(2073.6755, device='cuda:0')
train_loss/datalen tensor(138.2450, device='cuda:0')
test accuracy: 0.33
test_loss: tensor(934.4570, device='cuda:0')
test_loss/datalen tensor(133.4939, device='cuda:0')
train accuracy: 0.33
train_loss: tensor(2073.5334, device='cuda:0')
train_loss/datalen tensor(138.2356, device='cuda:0')
test accuracy: 0.33
test_loss: tensor(941.4691, device='cuda:0')
test_loss/datalen tensor(134.4956, device='cuda:0')
train accuracy: 0.26
train_loss: tensor(2106.4849, device='cuda:0')
train_loss/datalen tensor(140.4323, device='cuda:0')
test accuracy: 0.24
test_loss: tensor(942.8942, device='cuda:0')
test_loss/datalen tensor(134.6992, device='cuda:0')
train accuracy: 0.33
train_loss: tensor(2065.8274, device='cuda:0')
train_loss/datalen tensor(137.7218, device='cuda:0')
test accuracy: 0.33
test_loss: tensor(928.9818, device='cuda:0')
test_loss/datalen tensor(132.7117, device='cuda:0')
train accuracy: 0.32
train_loss: tensor(2066.1597, device='cuda:0')
train_loss/datalen tensor(137.7440, device='cuda:0')
test accuracy: 0.26
test_loss: tensor(924.4939, device='cuda:0')
test_loss/datalen tensor(132.0706, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(2043.3077, device='cuda:0')
train_loss/datalen tensor(136.2205, device='cuda:0')
test accuracy: 0.25
test_loss: tensor(925.0298, device='cuda:0')
test_loss/datalen tensor(132.1471, device='cuda:0')
train accuracy: 0.31
train_loss: tensor(2062.5442, device='cuda:0')
train_loss/datalen tensor(137.5030, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(991.2233, device='cuda:0')
test_loss/datalen tensor(141.6033, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(2030.2728, device='cuda:0')
train_loss/datalen tensor(135.3515, device='cuda:0')
test accuracy: 0.3
test_loss: tensor(965.7732, device='cuda:0')
test_loss/datalen tensor(137.9676, device='cuda:0')
train accuracy: 0.29
train_loss: tensor(2135.9658, device='cuda:0')
train_loss/datalen tensor(142.3977, device='cuda:0')
test accuracy: 0.3
test_loss: tensor(932.8018, device='cuda:0')
test_loss/datalen tensor(133.2574, device='cuda:0')
train accuracy: 0.22
train_loss: tensor(2072.5366, device='cuda:0')
train_loss/datalen tensor(138.1691, device='cuda:0')
test accuracy: 0.36
test_loss: tensor(920.0613, device='cuda:0')
test_loss/datalen tensor(131.4373, device='cuda:0')
train accuracy: 0.33
train_loss: tensor(2070.7021, device='cuda:0')
train_loss/datalen tensor(138.0468, device='cuda:0')
test accuracy: 0.33
test_loss: tensor(930.4479, device='cuda:0')
test_loss/datalen tensor(132.9211, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(2082.5640, device='cuda:0')
train_loss/datalen tensor(138.8376, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(932.5328, device='cuda:0')
test_loss/datalen tensor(133.2190, device='cuda:0')
train accuracy: 0.26
train_loss: tensor(2065.0259, device='cuda:0')
train_loss/datalen tensor(137.6684, device='cuda:0')
test accuracy: 0.3
test_loss: tensor(931.0836, device='cuda:0')
test_loss/datalen tensor(133.0119, device='cuda:0')
train accuracy: 0.35
train_loss: tensor(2056.5791, device='cuda:0')
train_loss/datalen tensor(137.1053, device='cuda:0')
test accuracy: 0.38
test_loss: tensor(951.9538, device='cuda:0')
test_loss/datalen tensor(135.9934, device='cuda:0')
train accuracy: 0.23
train_loss: tensor(2054.3540, device='cuda:0')
train_loss/datalen tensor(136.9569, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(934.9350, device='cuda:0')
test_loss/datalen tensor(133.5621, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(2103.8398, device='cuda:0')
train_loss/datalen tensor(140.2560, device='cuda:0')
test accuracy: 0.36
test_loss: tensor(945.9821, device='cuda:0')
test_loss/datalen tensor(135.1403, device='cuda:0')
train accuracy: 0.27
train_loss: tensor(2053.1785, device='cuda:0')
train_loss/datalen tensor(136.8786, device='cuda:0')
test accuracy: 0.33
test_loss: tensor(972.0901, device='cuda:0')
test_loss/datalen tensor(138.8700, device='cuda:0')
train accuracy: 0.24
train_loss: tensor(2065.9028, device='cuda:0')
train_loss/datalen tensor(137.7269, device='cuda:0')
test accuracy: 0.32
test_loss: tensor(921.6484, device='cuda:0')
test_loss/datalen tensor(131.6641, device='cuda:0')
train accuracy: 0.3
train_loss: tensor(2110.3323, device='cuda:0')
train_loss/datalen tensor(140.6888, device='cuda:0')
test accuracy: 0.33
test_loss: tensor(939.2636, device='cuda:0')
test_loss/datalen tensor(134.1805, device='cuda:0')
train accuracy: 0.34
train_loss: tensor(2048.2344, device='cuda:0')
train_loss/datalen tensor(136.5490, device='cuda:0')
test accuracy: 0.34
test_loss: tensor(953.9634, device='cuda:0')
test_loss/datalen tensor(136.2805, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(2035.5262, device='cuda:0')
train_loss/datalen tensor(135.7018, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(928.2019, device='cuda:0')
test_loss/datalen tensor(132.6003, device='cuda:0')
train accuracy: 0.3
train_loss: tensor(2116.1006, device='cuda:0')
train_loss/datalen tensor(141.0734, device='cuda:0')
test accuracy: 0.28
test_loss: tensor(959.4529, device='cuda:0')
test_loss/datalen tensor(137.0647, device='cuda:0')
-----------------------------------------------
ch_idx: 3
train accuracy: 0.26
train_loss: tensor(281.9517, device='cuda:0')
train_loss/datalen tensor(18.7968, device='cuda:0')
test accuracy: 0.26
test_loss: tensor(119.9659, device='cuda:0')
test_loss/datalen tensor(17.1380, device='cuda:0')
train accuracy: 0.26
train_loss: tensor(284.8726, device='cuda:0')
train_loss/datalen tensor(18.9915, device='cuda:0')
test accuracy: 0.3
test_loss: tensor(120.2284, device='cuda:0')
test_loss/datalen tensor(17.1755, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(282.2806, device='cuda:0')
train_loss/datalen tensor(18.8187, device='cuda:0')
test accuracy: 0.28
test_loss: tensor(119.7344, device='cuda:0')
test_loss/datalen tensor(17.1049, device='cuda:0')
train accuracy: 0.21
train_loss: tensor(285.6458, device='cuda:0')
train_loss/datalen tensor(19.0431, device='cuda:0')
test accuracy: 0.3
test_loss: tensor(118.1990, device='cuda:0')
test_loss/datalen tensor(16.8856, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(279.3575, device='cuda:0')
train_loss/datalen tensor(18.6238, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(118.0282, device='cuda:0')
test_loss/datalen tensor(16.8612, device='cuda:0')
train accuracy: 0.24
train_loss: tensor(285.8783, device='cuda:0')
train_loss/datalen tensor(19.0586, device='cuda:0')
test accuracy: 0.34
test_loss: tensor(121.6837, device='cuda:0')
test_loss/datalen tensor(17.3834, device='cuda:0')
train accuracy: 0.26
train_loss: tensor(282.6399, device='cuda:0')
train_loss/datalen tensor(18.8427, device='cuda:0')
test accuracy: 0.21
test_loss: tensor(122.8009, device='cuda:0')
test_loss/datalen tensor(17.5430, device='cuda:0')
train accuracy: 0.2
train_loss: tensor(279.9471, device='cuda:0')
train_loss/datalen tensor(18.6631, device='cuda:0')
test accuracy: 0.32
test_loss: tensor(119.9708, device='cuda:0')
test_loss/datalen tensor(17.1387, device='cuda:0')
train accuracy: 0.24
train_loss: tensor(279.1797, device='cuda:0')
train_loss/datalen tensor(18.6120, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(119.6922, device='cuda:0')
test_loss/datalen tensor(17.0989, device='cuda:0')
train accuracy: 0.27
train_loss: tensor(279.1255, device='cuda:0')
train_loss/datalen tensor(18.6084, device='cuda:0')
test accuracy: 0.26
test_loss: tensor(120.9184, device='cuda:0')
test_loss/datalen tensor(17.2741, device='cuda:0')
train accuracy: 0.2
train_loss: tensor(279.3942, device='cuda:0')
train_loss/datalen tensor(18.6263, device='cuda:0')
test accuracy: 0.2
test_loss: tensor(121.2614, device='cuda:0')
test_loss/datalen tensor(17.3231, device='cuda:0')
train accuracy: 0.26
train_loss: tensor(282.6419, device='cuda:0')
train_loss/datalen tensor(18.8428, device='cuda:0')
test accuracy: 0.24
test_loss: tensor(121.2121, device='cuda:0')
test_loss/datalen tensor(17.3160, device='cuda:0')
train accuracy: 0.24
train_loss: tensor(279.9438, device='cuda:0')
train_loss/datalen tensor(18.6629, device='cuda:0')
test accuracy: 0.35
test_loss: tensor(120.8765, device='cuda:0')
test_loss/datalen tensor(17.2681, device='cuda:0')
train accuracy: 0.16
train_loss: tensor(278.5630, device='cuda:0')
train_loss/datalen tensor(18.5709, device='cuda:0')
test accuracy: 0.34
test_loss: tensor(119.4562, device='cuda:0')
test_loss/datalen tensor(17.0652, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(279.2419, device='cuda:0')
train_loss/datalen tensor(18.6161, device='cuda:0')
test accuracy: 0.24
test_loss: tensor(119.9976, device='cuda:0')
test_loss/datalen tensor(17.1425, device='cuda:0')
train accuracy: 0.34
train_loss: tensor(282.5234, device='cuda:0')
train_loss/datalen tensor(18.8349, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(121.4306, device='cuda:0')
test_loss/datalen tensor(17.3472, device='cuda:0')
train accuracy: 0.21
train_loss: tensor(278.5794, device='cuda:0')
train_loss/datalen tensor(18.5720, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(119.1312, device='cuda:0')
test_loss/datalen tensor(17.0187, device='cuda:0')
train accuracy: 0.29
train_loss: tensor(279.5936, device='cuda:0')
train_loss/datalen tensor(18.6396, device='cuda:0')
test accuracy: 0.24
test_loss: tensor(119.7038, device='cuda:0')
test_loss/datalen tensor(17.1005, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(276.0679, device='cuda:0')
train_loss/datalen tensor(18.4045, device='cuda:0')
test accuracy: 0.3
test_loss: tensor(120.0923, device='cuda:0')
test_loss/datalen tensor(17.1560, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(280.3089, device='cuda:0')
train_loss/datalen tensor(18.6873, device='cuda:0')
test accuracy: 0.22
test_loss: tensor(123.7235, device='cuda:0')
test_loss/datalen tensor(17.6748, device='cuda:0')
train accuracy: 0.27
train_loss: tensor(283.7545, device='cuda:0')
train_loss/datalen tensor(18.9170, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(122.3473, device='cuda:0')
test_loss/datalen tensor(17.4782, device='cuda:0')
train accuracy: 0.23
train_loss: tensor(278.9162, device='cuda:0')
train_loss/datalen tensor(18.5944, device='cuda:0')
test accuracy: 0.24
test_loss: tensor(119.7693, device='cuda:0')
test_loss/datalen tensor(17.1099, device='cuda:0')
train accuracy: 0.27
train_loss: tensor(276.7896, device='cuda:0')
train_loss/datalen tensor(18.4526, device='cuda:0')
test accuracy: 0.29
test_loss: tensor(119.9951, device='cuda:0')
test_loss/datalen tensor(17.1422, device='cuda:0')
train accuracy: 0.28
train_loss: tensor(281.4331, device='cuda:0')
train_loss/datalen tensor(18.7622, device='cuda:0')
test accuracy: 0.31
test_loss: tensor(121.0348, device='cuda:0')
test_loss/datalen tensor(17.2907, device='cuda:0')
train accuracy: 0.25
train_loss: tensor(283.0307, device='cuda:0')
train_loss/datalen tensor(18.8687, device='cuda:0')
test accuracy: 0.28
test_loss: tensor(122.4926, device='cuda:0')
